id	severity	slice	component	summary	source_report
I18N-04	High	i18n-content	RTL breakage — guest menu	guest menu/search/cart/dialog use physical left/right utilities (left-3.5, pl-10 pr-4, sm:text-left, right-4), so the guest surface is visually broken in Arabic RTL.	docs/audit/06-i18n-content.md
I18N-05	High	i18n-content	Missing key renders a raw string to the owner	Step 5 of the onboarding wizard always shows the literal text prv_menuItemsSub under "6 Menu Items" — in EN, FR and AR alike, on the final step of the first-run flow, immediately before the owner is…	docs/audit/06-i18n-content.md
I18N-06	High	i18n-content	Onboarding headers hard-coded English (keys exist)	a French or Arabic café owner building their first menu sees five English section headers, and step 5's headline/description in English.	docs/audit/06-i18n-content.md
I18N-07	High	i18n-content	Auth surfaces are English-only	the only entry point for an existing owner is unlocalized in a 3-locale product; and because dir is set globally (src/lib/i18n.tsx:1844), an owner whose device is Arabic gets this English form…	docs/audit/06-i18n-content.md
I18N-08	Medium	i18n-content	Worker terminal shows the wrong role	a Manager logged into their own terminal is told they are a cashier, in every locale.	docs/audit/06-i18n-content.md
I18N-09	Medium	i18n-content	Role names untranslated in the invite UI	Arabic/French sentences read "دعوة Manager" / "Manager · ينتهي خلال 24 ساعة"; the invite dialog's role picker is English in an otherwise translated dashboard.	docs/audit/06-i18n-content.md
I18N-10	Medium	i18n-content	Hard-coded English timestamps stored as data	worker dashboards in FR/AR show "Just now"; the local invite page shows "In 24 hours" instead of t("inv_expires24") ("Dans 24 heures" / "خلال 24 ساعة").	docs/audit/06-i18n-content.md
I18N-11	Medium	i18n-content	Scan error codes with no message	an owner whose session expires mid-scan gets "Something went wrong while scanning.	docs/audit/06-i18n-content.md
I18N-12	Medium	i18n-content	RTL breakage — dashboards & wizard	dashboards, wizard and shared UI pin text/padding/arrows to physical left/right, so Arabic switches to RTL but keeps LTR alignment, spacing and arrows in ~20 places.	docs/audit/06-i18n-content.md
I18N-13	Medium	i18n-content	OCR review price ignores the currency setting	with cur = usd the wizard shows the scanned item as "4.500 DT" in the review and "$1.40" two steps later — the same product, two currencies, in one flow.	docs/audit/06-i18n-content.md
I18N-14	Medium	i18n-content	restaurants.currency is written once and never read	the DB column is decorative; an owner cannot choose a currency, a guest's currency is a device preference, and the round-trip OCR rate (menu-scan.ts:195, 1 EUR ~ 3.4 TND, 1 USD ~ 3.1 TND) disagrees…	docs/audit/06-i18n-content.md
I18N-15	Low	i18n-content	Dead keys and a duplicated key family	no runtime impact beyond maintenance risk (it is what let I18N-05 ship silently), plus the unused cur_label/lang_label are exactly the labels the switchers never show (see I18N-16).	docs/audit/06-i18n-content.md
I18N-16	Low	i18n-content	Currency/language switcher has no accessible labels	a screen-reader guest hears "$" and "€" with no context; a guest who does not know DT cannot tell what the row does, and there is no visible indication that the currency toggle exists vs the language…	docs/audit/06-i18n-content.md
I18N-17	Low	i18n-content	Static English metadata for every locale	browser tab, search results and link previews (WhatsApp is the primary sharing channel for this market) are always English, even for an Arabic café.	docs/audit/06-i18n-content.md
I18N-18	Low	i18n-content	English fallback copy in localized components	mostly owner-side; menu/[slug]/[token]/page.tsx:70 is guest-visible but only when a restaurant has a null name (the wizard requires one).	docs/audit/06-i18n-content.md
I18N-19	Low	i18n-content	Landing demo prices are not dinar prices	[INFERENCE — judgement about plausible café pricing] the pitch shows "4.750 DT" for an "Oat Cortado" and "$1.47" for the same dish once the visitor taps $, which reads as a 3× discount rather than a…	docs/audit/06-i18n-content.md
INFRA-01	Critical	infra-devops	Dockerfile runner stage	COPY with a source path that does not exist in the source stage is a hard build failure, not a silent skip (failed to compute cache key: ...	docs/audit/05-infra-devops.md
INFRA-02	Critical	infra-devops	package.json / package-lock.json	npm ci (.github/workflows/ci.yml:19) validates lock↔manifest sync and exits non-zero with EUSAGE: ...	docs/audit/05-infra-devops.md
INFRA-03	Critical	infra-devops	docker-compose.yml env_file	env_file defaults to required, so docker compose up --build fails during project load — before any container is created and before the build starts — with env file C:\...\.env.local not found.	docs/audit/05-infra-devops.md
INFRA-04	High	infra-devops	docker-compose.yml healthcheck vs src/app/api/	the probe gets HTTP 404, r.ok is false, the command exits 1, and after start_period: 20s + 3 × 30s the container is permanently Up (unhealthy).	docs/audit/05-infra-devops.md
INFRA-05	High	infra-devops	docker-compose.yml n8n service	the app never calls n8n, so this is a second container, a second port (:5678), a persistent volume and a hardcoded encryption key in the image config that the product does not use — for a newcomer,…	docs/audit/05-infra-devops.md
INFRA-06	High	infra-devops	.github/workflows/ci.yml	every defect in this report except INFRA-02 ships unobserved: CI would never have caught the missing public/, the phantom /api/health probe, the missing .env.local, the dead n8n service, or a…	docs/audit/05-infra-devops.md
INFRA-07	Medium	infra-devops	.env.example:44	the documented flow is cp .env.example .env.local (README.md:19) — so the shipped default wins.	docs/audit/05-infra-devops.md
INFRA-08	Medium	infra-devops	.env.example vs src/app/api/auth/signup/route.ts:21	.env.example is the enforced contract for handoff (the DB/compose paths both refer to it).	docs/audit/05-infra-devops.md
INFRA-09	Medium	infra-devops	supabase/ (no config.toml) + migration filename	the locally-hosted-Supabase path that both config files advertise is not runnable: without supabase/config.toml the CLI refuses to start a project (Cannot find project config), and supabase db…	docs/audit/05-infra-devops.md
INFRA-10	Medium	infra-devops	package.json scripts	the three things a newcomer must do that are not npm run dev — create the database, seed it, verify the production artefact the way Docker runs it — have no entry points.	docs/audit/05-infra-devops.md
INFRA-11	Low	infra-devops	Dockerfile:24	a maintainer reading the Dockerfile believes the standalone output is toggled at build time by that variable, so moving/removing it looks meaningful and a runner-only env change appears to change the…	docs/audit/05-infra-devops.md
INFRA-12	Low	infra-devops	Dockerfile:8	two harms. (a) It hides lockfile drift: the image build silently resolves a different dependency tree (npm install rewrites the lock inside the layer) than CI's npm ci — which is why nobody noticed…	docs/audit/05-infra-devops.md
INFRA-13	Low	infra-devops	tailwind.config.ts under Tailwind v4	Tailwind v4 does not read tailwind.config.ts unless the CSS opts in with @config, so this file is dead configuration.	docs/audit/05-infra-devops.md
INFRA-14	Low	infra-devops	next.config.mjs:13-18	the Next image optimizer will fetch and re-serve any host, so /_next/image?url=http://<internal-host>/...	docs/audit/05-infra-devops.md
INFRA-15	Low	infra-devops	package.json:16	an unused runtime dependency is installed in every image, every CI run and every developer's node_modules, and expands the supply-chain surface for zero product value; it also misleads (a reviewer…	docs/audit/05-infra-devops.md
INFRA-16	Low	infra-devops	toolchain pins	there is no declared runtime, so npm install on Node 24/npm 11 (what every local run does) is free to write lockfile content that the Node 20/npm 10 path in CI and Docker reads differently, and…	docs/audit/05-infra-devops.md
INFRA-17	Low	infra-devops	.gitignore	running the documented Docker command drops an untracked n8n/ directory into the working tree, and the audit deliverables show up as untracked noise next to them — so git status offers a commit that…	docs/audit/05-infra-devops.md
INFRA-18	Low	infra-devops	README.md:17 (dev-onboarding path)	the first command a newcomer is told to run fails; the mismatch also means the app name in the handoff docs (Sufra), the npm package (sufra) and the Compose project (restaurant-ai) are three…	docs/audit/05-infra-devops.md
LIB-01	High	lib-core	worker-permissions.ts + PATCH /api/orders/[id]	any cashier or manager can PUT status:"pending" and pull an accepted — or already paid — order back to the pending column, re-notifying the kitchen.	docs/audit/04-lib-core.md
LIB-02	High	lib-core	worker-auth.ts + logout	the 7-day window is client-side only.	docs/audit/04-lib-core.md
LIB-03	High	lib-core	owner-auth.ts + logout	a leaked refresh token survives logout for up to 60 days and keeps minting valid access tokens.	docs/audit/04-lib-core.md
LIB-04	High	lib-core	order-utils.ts	a product priced from an imported menu at 3 decimals (e.g.	docs/audit/04-lib-core.md
LIB-05	High	lib-core	menu-sync-guard.ts + PUT /api/menu	validateSyncPayload returns the raw payload cast as valid, so unvalidated sort_order/isAvailable/isPublished and other fields are written straight to the DB by PUT /api/menu.	docs/audit/04-lib-core.md
LIB-06	High	lib-core	menu-mapping.ts + qr.ts call sites	printed QR standees are the product's core artefact and they are not durable.	docs/audit/04-lib-core.md
LIB-07	High	lib-core	use-orders.ts	polling every 3s with no in-flight guard, no sequence id, no abort, no visibility handling and a silent error path — stale responses overwrite fresher state and requests pile up.	docs/audit/04-lib-core.md
LIB-08	Medium	lib-core	rate-limit.ts	an unauthenticated client can send a unique X-Forwarded-For per request, so every request creates a key that survives pruning for the whole window — unbounded memory growth (a self-inflicted OOM)…	docs/audit/04-lib-core.md
LIB-09	Medium	lib-core	menu-sync-guard.ts + PUT /api/menu	a payload containing the same product id twice is accepted by the guard and then fails in Postgres — ON CONFLICT DO UPDATE command cannot affect row a second time (SQLSTATE 21000) — surfacing as…	docs/audit/04-lib-core.md
LIB-10	Medium	lib-core	menu-sync-guard.ts + POST /api/orders	if two table rows in one restaurant share a qr_token, maybeSingle() errors on >1 row and every order from those tables fails with "Table not found" — permanently, until the owner deletes and…	docs/audit/04-lib-core.md
LIB-11	Medium	lib-core	image-utils.ts	(a) a 2048×2048 PNG screenshot (commonly 6–10 MB) passes through byte-for-byte, defeating the size cap and feeding the route's unbounded req.formData() (prior finding #4,…	docs/audit/04-lib-core.md
LIB-12	Medium	lib-core	migration 1002 + PUT /api/menu + readers	the advertised capability (owner-controlled dish ordering) is half-built: the column, index and backfill land in the DB and are then dead weight, and every product list is ordered by insertion time…	docs/audit/04-lib-core.md
LIB-13	Medium	lib-core	utils.ts + menu-sync-guard.ts	Impact, in a TND/Arabic-first product: (a) any restaurant whose name is entirely non-Latin (e.g.	docs/audit/04-lib-core.md
LIB-14	Low	lib-core	owner-auth.ts	no production deployment built and started normally can enable the bypass, so this is not a live vulnerability.	docs/audit/04-lib-core.md
LIB-15	Low	lib-core	PATCH /api/orders/[id] (owner branch)	an owner-initiated accept can stamp an arbitrary (including another restaurant's) worker id onto the order, corrupting the "who accepted this" label the dashboards display (api/orders/route.ts:30-31).	docs/audit/04-lib-core.md
LIB-16	Low	lib-core	worker-auth.ts	today's impact is ~nil (a Max-Age=0 deletion over plain HTTP is harmless, and the dead helper is never wired).	docs/audit/04-lib-core.md
LIB-17	Low	lib-core	qr.ts	an encoding failure becomes an unhandled promise rejection with no user-visible error — the user clicks "download all" and gets nothing.	docs/audit/04-lib-core.md
LIB-18	Low	lib-core	utils.ts	the helper's comment ("must still be unpredictable", implying 8 bytes = 64 bits) overstates the entropy by ~21 bits.	docs/audit/04-lib-core.md
LIB-19	Low	lib-core	utils.ts + menu-sync-guard.ts	a #abc or #11223344 brand colour passes validation, then renders a white translucent accent behind the brand elements with no error — a visible theme bug that the validator explicitly allowed.	docs/audit/04-lib-core.md
LIB-20	Low	lib-core	rate-limit.ts	a stray value in a production .env (the file is copied from .env.example, which documents the switch next to the auth bypass) silently removes throttling from login, recover, reset, order creation,…	docs/audit/04-lib-core.md
LIB-21	Low	lib-core	worker-auth.ts	dead code that advertises a control the app decided not to use (delete or wire it — leaving it invites a future layout to add a redundant, bypass-sensitive guard).	docs/audit/04-lib-core.md
LIB-22	Low	lib-core	order-utils.ts	a free (0-priced) catalog product produces an order whose total is 0 and which passes every guard, including the range check.	docs/audit/04-lib-core.md
LIB-23	Medium	lib-core	order-utils.ts (dead export with live tests)	the tested contract and the executed contract are different code.	docs/audit/04-lib-core.md
LIB-24	Medium	lib-core	utils.ts (appBaseUrl)	(a) on the server-rendered first paint typeof window is undefined, so the initial HTML contains the hardcoded placeholder domain https://sufra.app/menu/<slug>/<token>; a user who copies the visible…	docs/audit/04-lib-core.md
LIB-25	Low	lib-core	worker-invite.ts + invite readers (fail-open TTL)	any invite row whose expires_at is null — pre-existing rows, or any future writer that omits the column — is a credential with an infinite lifetime; combined with LIB-02 (sessions also never expire…	docs/audit/04-lib-core.md
OCR-01	Critical	ocr-pipeline	reconcileImports (reconcile)	reconcileImports drops parser products when an AI and parser product share a name key, so a dish printed in two sections can lose a listing and a whole category can vanish while the UI reports success.	docs/audit/07-ocr-pipeline.md
OCR-02	Critical	ocr-pipeline	parseOcrMarkdown price split	PRICE_SPLIT_RE swallows the digit run before the price, so "Couscous 1 200" becomes a phantom dish named "Couscous 1" at 200 DT — a wrong-but-plausible price in the live menu.	docs/audit/07-ocr-pipeline.md
OCR-03	High	ocr-pipeline	parseOcrMarkdown currency/digit handling	prices printed with a leading currency symbol or Arabic-Indic digits ("$12.50", "€ 5.500", "١٢٫٥") match nothing, so those items import at price 0.	docs/audit/07-ocr-pipeline.md
OCR-04	High	ocr-pipeline	table-formatted menus	table-laid-out menus arrive via page.tables which the pipeline discards (markdown holds only [tbl-N.md] placeholders), so the deterministic baseline sees nothing and garbage/all-AI rows can be imported.	docs/audit/07-ocr-pipeline.md
OCR-05	High	ocr-pipeline	quality gate contradicts the parser	the quality gate rejects legitimate small menus (3-item headingless board, bold/#### headings) and then fails the scan after three paid OCR calls, while accepting junk panels and truncations.	docs/audit/07-ocr-pipeline.md
OCR-06	High	ocr-pipeline	no timeout on any provider or client fetch	no AbortSignal on any Mistral fetch (or on the client scan POST), so a hung provider parks the request until the platform 504 with no typed error and the paid spend already committed.	docs/audit/07-ocr-pipeline.md
OCR-07	Medium	ocr-pipeline	per-request memory ≈3× the upload cap	on a 512 MB serverless function or a small VPS, two or three concurrent scans from different IPs OOM the process (killing in-flight orders for other users on the same instance); memory is held for…	docs/audit/07-ocr-pipeline.md
OCR-08	Medium	ocr-pipeline	uploaded documents are never deleted	every scan permanently retains the owner's menu photographs in Mistral's storage — unbounded growth against the account's file quota, and a data-retention exposure for images that may capture staff,…	docs/audit/07-ocr-pipeline.md
OCR-09	Medium	ocr-pipeline	merge silently skips colliding rows	the owner hand-corrects a price after a bad scan, re-scans, and the UI says the import succeeded while those rows were dropped — half-applied state with a success signal.	docs/audit/07-ocr-pipeline.md
OCR-10	Medium	ocr-pipeline	review step hides rows it is about to import	the owner reviews a 40-item scan, sees 8 rows per section, and imports the rest unseen.	docs/audit/07-ocr-pipeline.md
OCR-11	Medium	ocr-pipeline	HEIC/HEIF accepted then fails to decode	on Windows/Android Chrome, picking an iPhone HEIC photo is a dead end: a generic error, the file stays in the list, and retrying re-fails — while the product's own picker advertised the format as…	docs/audit/07-ocr-pipeline.md
OCR-12	Medium	ocr-pipeline	items before the first heading are discarded	on a two-column menu, or a photo whose top line is a "Plat du jour" before the first section heading, that item is silently dropped from the import — a missing product with no signal anywhere in the…	docs/audit/07-ocr-pipeline.md
OCR-13	Medium	ocr-pipeline	truncation detection only catches one shape	the 20-page cap (MAX_PAGES_PER_FILE, :62, pages:"0-${19}" at :263) or a cut-off page produces a fragment that passes every gate and is imported as the complete menu — the owner publishes a menu…	docs/audit/07-ocr-pipeline.md
OCR-14	Low	ocr-pipeline	sanitizePrice mishandles $ and non-ASCII digits	whenever the annotation is missing or fails to parse (OCR-15) the string path is the only one left; $-prefixed prices then silently become 0 (free items), and the parser/sanitizer disagreement on…	docs/audit/07-ocr-pipeline.md
OCR-15	Low	ocr-pipeline	document_annotation assumed to be a JSON string	if the provider's shape differs, the flagship "AI structure" path silently never runs in production while every log looks healthy; quality silently degrades to the regex parser (which is where…	docs/audit/07-ocr-pipeline.md
